id,name,category,price,manufacturer,image,shortDescription
1,ESP32-WROOM-32D MCU,Microcontrollers,112,Espressif,assets/products/esp32_devkit.png,High-performance Wi-Fi + BT + BLE MCU module.
2,Orange 2200mAh 3S 30C LiPo,Batteries,625,Orange Power,assets/products/lipo_battery.png,High-discharge lithium polymer battery for drones.
3,NEMA 17 Stepper Motor,Motors,312,Generic High-Torque,assets/products/sg90_servo.png,Precision stepper motor for 3D printers and CNC.
4,Creality Ender 3 V2 Board,3D Printing,1125,Creality,assets/products/arduino_mega.png,Silent 32-bit mainboard upgrade.
5,MPU6050 6-Axis Gyro,Sensors,80,InvenSense,assets/products/mpu6050.png,Motion tracking sensor for stabilized systems.
6,Ultrasonic HC-SR04,Sensors,38,Generic,assets/products/hc_sr04.png,Non-contact distance measurement module.
7,Raspberry Pi 4 Model B (8GB),Microcontrollers,1875,Raspberry Pi Foundation,assets/products/raspberry_pi_4.png,Powerful credit-card sized computer.
8,A2212 1000KV BLDC Motor,Motors,222,Generic Aero,assets/products/sg90_servo.png,Brushless DC motor for multirotors.
9,ATmega328P-PU DIP MCU,Microcontrollers,70,Microchip (Atmel),assets/products/atmega328p.png,The classic Arduino Uno heart — standalone 8-bit AVR microcontroller.
10,STM32F103C8T6 (Blue Pill MCU),Microcontrollers,49,STMicroelectronics,assets/products/stm32_blue_pill.png,"Popular ARM Cortex-M3 MCU, the brain of the Blue Pill board."
11,RP2040 MCU Chip,Microcontrollers,30,Raspberry Pi,assets/products/pico_w.png,Dual-core Cortex-M0+ chip powering the Pi Pico. Great for PIO state machines.
12,PIC16F877A DIP MCU,Microcontrollers,88,Microchip,assets/products/atmega328p.png,Workhorse 8-bit PIC MCU with built-in ADC and USART. DIP-40 package.
13,NE555P Timer IC,ICs,9,Texas Instruments,assets/products/atmega328p.png,"The legendary 555 timer. Astable, monostable, bistable — does it all."
14,LM741 Op-Amp IC,ICs,14,Texas Instruments,assets/products/atmega328p.png,Classic general-purpose single op-amp. Ideal for learning and prototyping.
15,LM358 Dual Op-Amp IC,ICs,11,STMicroelectronics,assets/products/atmega328p.png,Low-power dual op-amp with single-supply operation down to 3V.
16,74HC595 Shift Register IC,ICs,8,NXP Semiconductors,assets/products/atmega328p.png,"8-bit serial-in, parallel-out shift register. Expand GPIO with SPI."
17,L293D Motor Driver IC,ICs,28,STMicroelectronics,assets/products/l298n_driver.png,Dual H-bridge motor driver IC. Drive 2 DC motors or 1 stepper.
18,LM7805 Voltage Regulator,ICs,10,Fairchild / ON Semi,assets/products/lm2596_buck.png,Fixed +5V linear voltage regulator. Essential for 5V rail from unregulated supplies.
19,AMS1117-3.3 LDO Regulator,ICs,6,Advanced Monolithic Systems,assets/products/lm2596_buck.png,Low-dropout 3.3V regulator. Popular for powering ESP8266/ESP32 from 5V.
20,MAX232 RS-232 Transceiver IC,ICs,21,Maxim / Texas Instruments,assets/products/atmega328p.png,RS-232 level converter. Bridges TTL MCU UART to RS-232 PC serial ports.
21,SN74HC00 Quad NAND Gate IC,ICs,6,Texas Instruments,assets/products/atmega328p.png,4× 2-input NAND gates. Build any logic function from first principles.
22,CD4051 8-Channel Analog Mux IC,ICs,15,Texas Instruments,assets/products/atmega328p.png,Single 8-channel analog multiplexer/demultiplexer for signal routing.
